sample_names,label,annotation_file,annotation_colnames,referenceRDSObject,max_entropy
Pat5_LN2,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_LN3,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_LN4,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu10,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu2,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu3,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu4,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu5,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu7,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu8,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
Pat5_Tu9,Patient5,data/merged_multiome_allPat5_29092022processed_clustered_chromvar_29092022cluster_general_confirmDotPlotsMarkers_15052023_cluster_annot_short_09122023_replaced_colname_13022024.csv,name,Pat2Pat5_cleanLymphClusters.RDS,0.7
